"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Revenu net, en mio. de francs";69251;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"1";"Zürich";"Revenu net par habitant/-e, en francs";44989;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"2";"Bern";"Revenu net, en mio. de francs";35834;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"2";"Bern";"Revenu net par habitant/-e, en francs";34473;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"3";"Luzern";"Revenu net, en mio. de francs";15425;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"3";"Luzern";"Revenu net par habitant/-e, en francs";37339;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"4";"Uri";"Revenu net, en mio. de francs";1208;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"4";"Uri";"Revenu net par habitant/-e, en francs";32905;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"5";"Schwyz";"Revenu net, en mio. de francs";9422;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"5";"Schwyz";"Revenu net par habitant/-e, en francs";58710;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"6";"Obwalden";"Revenu net, en mio. de francs";1672;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"6";"Obwalden";"Revenu net par habitant/-e, en francs";44076;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"7";"Nidwalden";"Revenu net, en mio. de francs";2232;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"7";"Nidwalden";"Revenu net par habitant/-e, en francs";51801;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"8";"Glarus";"Revenu net, en mio. de francs";1348;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"8";"Glarus";"Revenu net par habitant/-e, en francs";33209;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"9";"Zug";"Revenu net, en mio. de francs";8439;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"9";"Zug";"Revenu net par habitant/-e, en francs";66112;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"10";"Freiburg";"Revenu net, en mio. de francs";10857;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"10";"Freiburg";"Revenu net par habitant/-e, en francs";33741;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"11";"Solothurn";"Revenu net, en mio. de francs";9969;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"11";"Solothurn";"Revenu net par habitant/-e, en francs";36218;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"12";"Basel-Stadt";"Revenu net, en mio. de francs";8799;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"12";"Basel-Stadt";"Revenu net par habitant/-e, en francs";44928;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"13";"Basel-Landschaft";"Revenu net, en mio. de francs";12420;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"13";"Basel-Landschaft";"Revenu net par habitant/-e, en francs";42906;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"14";"Schaffhausen";"Revenu net, en mio. de francs";2890;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"14";"Schaffhausen";"Revenu net par habitant/-e, en francs";35091;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"15";"Appenzell Ausserrhoden";"Revenu net, en mio. de francs";2045;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"15";"Appenzell Ausserrhoden";"Revenu net par habitant/-e, en francs";36886;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"16";"Appenzell Innerrhoden";"Revenu net, en mio. de francs";654;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"16";"Appenzell Innerrhoden";"Revenu net par habitant/-e, en francs";40551;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"17";"St. Gallen";"Revenu net, en mio. de francs";17524;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"17";"St. Gallen";"Revenu net par habitant/-e, en francs";34311;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"18";"Graubünden";"Revenu net, en mio. de francs";7269;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"18";"Graubünden";"Revenu net par habitant/-e, en francs";36526;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"19";"Aargau";"Revenu net, en mio. de francs";25899;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"19";"Aargau";"Revenu net par habitant/-e, en francs";37762;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"20";"Thurgau";"Revenu net, en mio. de francs";10095;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"20";"Thurgau";"Revenu net par habitant/-e, en francs";36112;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"21";"Tessin";"Revenu net, en mio. de francs";12590;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"21";"Tessin";"Revenu net par habitant/-e, en francs";35820;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"22";"Waadt";"Revenu net, en mio. de francs";31036;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"22";"Waadt";"Revenu net par habitant/-e, en francs";38549;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"23";"Wallis";"Revenu net, en mio. de francs";11133;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"23";"Wallis";"Revenu net par habitant/-e, en francs";32220;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"24";"Neuenburg";"Revenu net, en mio. de francs";5838;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"24";"Neuenburg";"Revenu net par habitant/-e, en francs";33075;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"25";"Genf";"Revenu net, en mio. de francs";21272;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"25";"Genf";"Revenu net par habitant/-e, en francs";42195;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"26";"Jura";"Revenu net, en mio. de francs";2237;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
"26";"Jura";"Revenu net par habitant/-e, en francs";30402;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"kant";"Cantons";"1997-01-01";"26744";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26744_fr.html"
